prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
0.025,49.5,1.0,0.0,0.9272558770343581,0.0005156540282992128,0.3894451105594635,0.00014631612275549925
0.05,49.5,1.0,0.0,0.9369755877034358,0.0005415850382942409,0.27210545897483823,6.4843596470956e-05
0.075,49.5,1.0,0.0,0.9412251356238699,0.00047901798353334053,0.2191538958251476,4.169968918109371e-05
0.1,49.5,1.0,0.0,0.9430515370705244,0.0005138235976496956,0.18715860038995738,3.4444947869403184e-05
0.125,49.5,1.0,0.0,0.9448508137432188,0.0004396944046815824,0.16502557352185246,2.7423063045900628e-05
0.15,49.5,1.0,0.0,0.9459629294755877,0.0004246940837810763,0.14893433138728138,2.197733974449384e-05
0.175,49.5,1.0,0.0,0.9464692585895118,0.0004291736144842453,0.13577161133289334,1.695878689228857e-05
0.2,49.5,1.0,0.0,0.9465461121157324,0.00048218052896829513,0.1250101378560066,1.4672855500386069e-05
0.225,49.5,1.0,0.0,0.9472875226039783,0.0004673477045405259,0.1159540700167417,1.1751819657412176e-05
0.25,49.5,1.0,0.0,0.9472287522603977,0.00045448675976795546,0.10817738421261305,1.0936712702192672e-05
