prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
0.025,49.5,1.2212531143629481,0.005340982646425145,0.8247016274864376,0.0006672746617484109,0.35265370666980744,0.0007696582306098014
0.05,49.5,1.1158523144111292,0.0004720237454939498,0.9491636528028933,0.00043813663247158855,0.257594082057476,6.292620864891314e-05
0.075,49.5,1.1142491336952505,0.00039012888642642977,0.949113924050633,0.0004666987980579901,0.20761529132723805,3.8888313215200674e-05
0.1,49.5,1.1145754116997435,0.0003415460075821896,0.9495479204339964,0.00043457061638778744,0.1772784665226936,3.071937506777322e-05
0.125,49.5,1.114772676786331,0.0003006866738618719,0.9496699819168174,0.00047506088836957996,0.15629992127418516,2.3304406529348747e-05
0.15,49.5,1.1147865882697636,0.0002688356439487352,0.949498191681736,0.0005013720522363919,0.1410585635900497,1.7940434569373516e-05
0.175,49.5,1.1148689058589176,0.00023729219522892133,0.9492224231464738,0.0004957649756756625,0.12858712911605832,1.4624113730779464e-05
0.2,49.5,1.1150267229417476,0.00021326309208333076,0.9498960216998192,0.0005034577609578859,0.11838670380413528,1.2396132307941082e-05
0.225,49.5,1.1150466834470532,0.0002042625255893737,0.9496518987341771,0.0004563362444046353,0.1098094771802425,1.0907351997147015e-05
0.25,49.5,1.1150334603748309,0.00019733525312603308,0.9491636528028933,0.00048304694629284,0.10244548574090001,9.459866819034125e-06
