prop_budget,seed,mean_width,coverage
0.025,0,0.3376671075820923,0.9267631103074141
0.025,1,0.3377174139022827,0.9317359855334538
0.025,2,0.3378550410270691,0.9312839059674503
0.025,3,0.33777230978012085,0.9335443037974683
0.025,4,0.33781617879867554,0.9339963833634719
0.025,5,0.33701446652412415,0.9285714285714285
0.025,6,0.3376498520374298,0.9349005424954792
0.025,7,0.33689501881599426,0.9276672694394213
0.025,8,0.33661478757858276,0.9344484629294756
0.025,9,0.33736708760261536,0.9294755877034357
0.025,10,0.338677316904068,0.9249547920433996
0.025,11,0.3376958966255188,0.9358047016274864
0.025,12,0.33832746744155884,0.9389692585895117
0.025,13,0.3372099697589874,0.9389692585895117
0.025,14,0.33839115500450134,0.9339963833634719
0.025,15,0.33913224935531616,0.9389692585895117
0.025,16,0.3383403718471527,0.9353526220614828
0.025,17,0.338145911693573,0.9335443037974683
0.025,18,0.3375539481639862,0.9330922242314648
0.025,19,0.33824577927589417,0.924502712477396
0.025,20,0.3374274671077728,0.9312839059674503
0.025,21,0.337795615196228,0.930379746835443
0.025,22,0.33807051181793213,0.9344484629294756
0.025,23,0.33876514434814453,0.9312839059674503
0.025,24,0.3375861942768097,0.9371609403254972
0.025,25,0.3387456238269806,0.9330922242314648
0.025,26,0.3383612036705017,0.9308318264014466
0.025,27,0.3378760516643524,0.9285714285714285
0.025,28,0.33837512135505676,0.9294755877034357
0.025,29,0.33812230825424194,0.9335443037974683
0.025,30,0.33886051177978516,0.9339963833634719
0.025,31,0.33976688981056213,0.93625678119349
0.025,32,0.33723264932632446,0.9349005424954792
0.025,33,0.3396361470222473,0.9443942133815552
0.025,34,0.33785489201545715,0.9407775768535261
0.025,35,0.3382872939109802,0.9430379746835442
0.025,36,0.3382951021194458,0.9326401446654611
0.025,37,0.3380555510520935,0.9412296564195298
0.025,38,0.3377288281917572,0.9380650994575045
0.025,39,0.3386955261230469,0.9267631103074141
0.025,40,0.3381536602973938,0.9272151898734177
0.025,41,0.3376370668411255,0.9312839059674503
0.025,42,0.33835914731025696,0.9394213381555153
0.025,43,0.3374253511428833,0.9353526220614828
0.025,44,0.3381369709968567,0.9344484629294756
0.025,45,0.3384232819080353,0.9290235081374322
0.025,46,0.33731400966644287,0.9358047016274864
0.025,47,0.33831292390823364,0.93625678119349
0.025,48,0.33839401602745056,0.9308318264014466
0.025,49,0.3369438052177429,0.930379746835443
0.025,50,0.336439847946167,0.9344484629294756
0.025,51,0.3383030295372009,0.9344484629294756
0.025,52,0.3378816246986389,0.9312839059674503
0.025,53,0.3374367356300354,0.9353526220614828
0.025,54,0.33893999457359314,0.9389692585895117
0.025,55,0.33813440799713135,0.9330922242314648
0.025,56,0.3380619287490845,0.9294755877034357
0.025,57,0.3382374942302704,0.9421338155515371
0.025,58,0.3372851312160492,0.9258589511754068
0.025,59,0.3394564390182495,0.9389692585895117
0.025,60,0.33815905451774597,0.9312839059674503
0.025,61,0.337921142578125,0.930379746835443
